phantom,algorithm,n_angles,noise,rmse,ssim,dice
phantom_015.npy,FBP,10,0.0,0.0504581704511281,0.47568680858444773,0.6920335411590257
phantom_015.npy,SIRT,10,0.0,0.024871895960341575,0.6345467992847491,0.9506260111036292
phantom_015.npy,FBP,20,0.0,0.031417811147254844,0.49611378094353925,0.8270013902724715
phantom_015.npy,SIRT,20,0.0,0.018356711393221873,0.7268954542924111,0.9826326080953911
phantom_015.npy,FBP,30,0.0,0.02476322877651802,0.535141202568121,0.8762338690710617
phantom_015.npy,SIRT,30,0.0,0.015095296531512769,0.8010740158962188,0.9924010655457532
phantom_015.npy,FBP,60,0.0,0.01526709993558196,0.6446393780756527,0.9557597300794606
phantom_015.npy,SIRT,60,0.0,0.01121441610819709,0.9027211090284244,0.9978205952340675
phantom_015.npy,FBP,90,0.0,0.01145219344696991,0.7210720225047159,0.9854477590902171
phantom_015.npy,SIRT,90,0.0,0.00923669947110904,0.9349431323253947,0.9991137737037356
phantom_015.npy,FBP,120,0.0,0.009289042057646843,0.7774690775335318,0.9951759296253263
phantom_015.npy,SIRT,120,0.0,0.008205808572839132,0.9517604143266643,0.9993970981828426
phantom_015.npy,FBP,180,0.0,0.007210534115878428,0.8421232334127298,0.9985288620896364
phantom_015.npy,SIRT,180,0.0,0.007319907151516007,0.9668969660158377,0.9995547828439232
phantom_016.npy,FBP,5,0.0,0.04556824403540263,0.39122480405587257,0.7699550983938448
phantom_016.npy,SIRT,5,0.0,0.024161161828474106,0.597620305627053,0.9628653609795507
phantom_016.npy,FBP,10,0.0,0.04556823841616004,0.39122478005895106,0.7699563631278713
phantom_016.npy,SIRT,10,0.0,0.024161164110751598,0.5976202726822888,0.962866308476511
phantom_016.npy,FBP,20,0.0,0.030383607258176702,0.4355481653010325,0.8727743465586244
phantom_016.npy,SIRT,20,0.0,0.018079726154699792,0.6980373262682185,0.984837608561305
phantom_016.npy,FBP,30,0.0,0.02363187744248162,0.48152854167323034,0.9211285200872673
phantom_016.npy,SIRT,30,0.0,0.01471251261534258,0.779842040707734,0.9930908080977213
phantom_016.npy,FBP,60,0.0,0.01493953281133333,0.6165807012152082,0.9753367449980317
phantom_016.npy,SIRT,60,0.0,0.010659940214015099,0.8978335203104598,0.9980647712897801
phantom_016.npy,FBP,90,0.0,0.0114168262185808,0.7070578815530598,0.9919592429330388
phantom_016.npy,SIRT,90,0.0,0.008857124048619418,0.932065733736964,0.9988645034517887
phantom_016.npy,FBP,120,0.0,0.009515196740171502,0.7669697749101063,0.9971002393613267
phantom_016.npy,SIRT,120,0.0,0.00788481436933098,0.9486540938346253,0.9992066704118266
phantom_016.npy,FBP,180,0.0,0.00759425734118758,0.8315769180791522,0.9989519974525477
phantom_016.npy,SIRT,180,0.0,0.006993347303425827,0.9627318532534042,0.9994169413285883
phantom_017.npy,FBP,5,0.0,0.03830797157888962,0.43457707250391814,0.8250182453934597
phantom_017.npy,SIRT,5,0.0,0.020897859840503227,0.6291486932719252,0.9645356932089654
phantom_017.npy,FBP,10,0.0,0.03830797372747594,0.43457707442015037,0.8250209434183706
phantom_017.npy,SIRT,10,0.0,0.02089786234122864,0.6291486717059912,0.9645316897414151
phantom_017.npy,FBP,20,0.0,0.025125220791639587,0.4850643122635428,0.9051332755843735
phantom_017.npy,SIRT,20,0.0,0.01542309827961985,0.7484215633962881,0.9861544208295306
phantom_017.npy,FBP,30,0.0,0.019846742679619136,0.5332609618403832,0.9353612579492467
phantom_017.npy,SIRT,30,0.0,0.012800957292809865,0.8292377484057999,0.994386256367377
phantom_017.npy,FBP,60,0.0,0.012654413763475904,0.6711786563060861,0.9751963314844307
phantom_017.npy,SIRT,60,0.0,0.009442981103545836,0.9209301108430252,0.9984041733618014
phantom_017.npy,FBP,90,0.0,0.009584913725194839,0.7582221428564938,0.9907903768723597
phantom_017.npy,SIRT,90,0.0,0.007728589034224832,0.9478156452579726,0.9993809838230439
phantom_017.npy,FBP,120,0.0,0.00783825765700528,0.811466800629611,0.9966114390437677
phantom_017.npy,SIRT,120,0.0,0.006851029713233539,0.9606367033139631,0.9996010477311997
phantom_017.npy,FBP,180,0.0,0.00616239260048031,0.8708966153685234,0.9989869738044639
phantom_017.npy,SIRT,180,0.0,0.006069762464628613,0.9723542477745319,0.9997042376553612
phantom_018.npy,FBP,5,0.0,0.039306034861112296,0.4270315963026933,0.831663759704879
phantom_018.npy,SIRT,5,0.0,0.020314814249131,0.6417340631780833,0.9741638185418952
phantom_018.npy,FBP,10,0.0,0.03930602661105259,0.4270316192193536,0.8316615055132695
phantom_018.npy,SIRT,10,0.0,0.02031481503720807,0.6417340550118895,0.9741638185418952
phantom_018.npy,FBP,20,0.0,0.026339569421922678,0.48139835313818535,0.9134348805216523
phantom_018.npy,SIRT,20,0.0,0.01532310049424082,0.7390504733907657,0.9897451978699617
phantom_018.npy,FBP,30,0.0,0.020908221981794133,0.5278300375280474,0.9467718212217126
phantom_018.npy,SIRT,30,0.0,0.012682452551525267,0.8163980789283489,0.9941353587731652
phantom_018.npy,FBP,60,0.0,0.013539199353461748,0.6569013724153667,0.9832898771426974
